product_name,purchase_date,review,rating,units_sold,region,product_category,net_profit
Gaming Chair,2023-02-04,Works fine.,3,51,East,Furniture,3804.59
4K Action Camera,2024-08-08,Quality could be better.,3,67,South,Electronics,6973.65
Blender,2021-02-23,"Average product, does the job.",1,205,East,Kitchen,4496.65
Gaming Chair,2021-09-02,Nothing special but acceptable.,1,246,North,Furniture,13708.83
Laptop Stand,2023-12-23,"Loved it, will buy again.",5,253,North,Accessories,5591.7
Smartwatch,2021-01-09,"Great quality, very satisfied!",1,75,North,Wearables,2993.39
Laptop Stand,2020-03-13,Excellent product!,4,243,South,Accessories,6483.83
Blender,2024-07-15,"Average product, does the job.",3,170,South,Kitchen,5163.61
Electric Kettle,2022-11-19,"Great quality, very satisfied!",5,248,East,Kitchen,5800.02
Wireless Mouse,2023-04-26,Excellent product!,2,53,West,Accessories,1528.47
Gaming Chair,2023-10-19,"Great quality, very satisfied!",4,227,North,Furniture,11154.24
Wireless Mouse,2024-12-28,Very disappointing.,4,190,West,Accessories,5028.63
Laptop Stand,2024-01-14,Quality could be better.,4,17,West,Accessories,286.82
Laptop Stand,2020-07-13,It's okay.,1,184,North,Accessories,3404.22
Air Purifier,2023-03-25,Amazing performance and value.,1,160,West,Home Goods,6662.05
Robot Vacuum,2023-04-10,Very disappointing.,1,176,East,Home Goods,8807.49
Electric Kettle,2022-04-26,Bad experience overall.,2,73,West,Kitchen,3128.9
Wireless Mouse,2022-11-30,Works fine.,5,231,East,Accessories,6031.84
Robot Vacuum,2022-12-22,It's okay.,5,266,West,Home Goods,12304.06
Laptop Stand,2020-01-23,"Great quality, very satisfied!",1,245,East,Accessories,3276.45
Smartwatch,2020-12-25,"Loved it, will buy again.",1,132,South,Wearables,6286.39
Coffee Maker,2023-01-03,"Loved it, will buy again.",2,102,West,Kitchen,3210.99
Gaming Chair,2021-07-13,Works fine.,3,60,South,Furniture,5937.79
Laptop Stand,2021-11-02,"Average product, does the job.",5,208,North,Accessories,2409.58
Gaming Chair,2023-02-15,Nothing special but acceptable.,4,203,West,Furniture,9708.13
Smartwatch,2024-06-23,Quality could be better.,3,34,West,Wearables,1177.79
Blender,2023-11-04,"Average product, does the job.",5,26,South,Kitchen,1048.75
Electric Kettle,2021-11-09,"Loved it, will buy again.",2,112,South,Kitchen,2562.45
Laptop Stand,2023-08-06,Decent for the price.,5,125,West,Accessories,2421.2
Coffee Maker,2021-03-15,Not worth the price.,3,156,West,Kitchen,3240.74
Smartwatch,2024-08-18,Excellent product!,4,112,East,Wearables,2980.06
4K Action Camera,2022-07-21,Not worth the price.,3,188,North,Electronics,11676.47
Blender,2020-01-07,Not worth the price.,3,34,South,Kitchen,1524.4
Laptop Stand,2023-05-04,Not worth the price.,1,71,North,Accessories,1213.82
Wireless Mouse,2021-02-24,Highly recommend this!,5,51,East,Accessories,791.37
Smartwatch,2024-05-10,Nothing special but acceptable.,1,282,West,Wearables,10681.01
Electric Kettle,2022-04-12,Not worth the price.,2,220,East,Kitchen,7601.49
Coffee Maker,2023-05-01,"Loved it, will buy again.",2,80,North,Kitchen,2017.6
Electric Kettle,2021-07-12,Decent for the price.,5,228,North,Kitchen,4683.73
Gaming Chair,2023-03-17,Amazing performance and value.,1,21,North,Furniture,1897.65
4K Action Camera,2024-12-15,Excellent product!,1,92,West,Electronics,8043.68
Air Purifier,2024-08-19,Decent for the price.,1,95,West,Home Goods,3990.74
Gaming Chair,2023-05-10,"Great quality, very satisfied!",3,231,North,Furniture,18016.83
Smartwatch,2024-01-07,Amazing performance and value.,1,136,East,Wearables,5040.59
Wireless Mouse,2022-07-02,"Great quality, very satisfied!",3,156,North,Accessories,2505.28
Wireless Mouse,2023-12-13,It's okay.,1,109,West,Accessories,1139.87
Laptop Stand,2023-12-21,"Average product, does the job.",5,134,North,Accessories,3465.35
Gaming Chair,2022-10-03,Nothing special but acceptable.,1,15,East,Furniture,1351.33
4K Action Camera,2024-02-11,Quality could be better.,5,259,West,Electronics,13301.0
Coffee Maker,2024-02-07,Bad experience overall.,4,209,East,Kitchen,6616.91
Blender,2020-05-05,Not worth the price.,3,219,South,Kitchen,6317.22
Blender,2021-01-29,Nothing special but acceptable.,4,162,West,Kitchen,7006.51
Gaming Chair,2022-03-27,Not worth the price.,5,234,East,Furniture,21087.94
Robot Vacuum,2022-05-30,Excellent product!,2,265,South,Home Goods,9414.32
Electric Kettle,2021-07-29,Very disappointing.,5,280,South,Kitchen,8160.28
Gaming Chair,2020-11-20,Quality could be better.,2,57,West,Furniture,5365.64
Wireless Mouse,2023-11-16,"Average product, does the job.",4,152,South,Accessories,3489.07
Air Purifier,2022-07-18,"Loved it, will buy again.",2,222,North,Home Goods,14483.79
Gaming Chair,2024-09-07,Quality could be better.,2,140,West,Furniture,13618.87
Coffee Maker,2024-07-09,Highly recommend this!,3,24,North,Kitchen,675.14
Air Purifier,2024-01-03,"Average product, does the job.",3,41,West,Home Goods,2716.97
Laptop Stand,2023-05-12,Excellent product!,5,165,South,Accessories,1918.6
Electric Kettle,2024-02-18,Bad experience overall.,4,103,South,Kitchen,3789.16
Gaming Chair,2022-04-12,Amazing performance and value.,2,106,North,Furniture,9942.98
Wireless Mouse,2022-11-20,Bad experience overall.,1,207,South,Accessories,4030.63
Blender,2023-11-12,Stopped working too soon.,3,284,South,Kitchen,10977.37
Coffee Maker,2024-07-06,Stopped working too soon.,4,146,West,Kitchen,3130.8
Blender,2023-12-28,Very disappointing.,2,257,West,Kitchen,11871.51
Electric Kettle,2022-04-16,Not worth the price.,5,143,South,Kitchen,6349.24
Wireless Mouse,2022-07-14,"Great quality, very satisfied!",1,23,South,Accessories,595.75
Electric Kettle,2023-10-31,"Loved it, will buy again.",3,122,East,Kitchen,4584.65
Electric Kettle,2023-09-29,Works fine.,3,20,South,Kitchen,907.09
Blender,2021-03-18,Quality could be better.,1,203,North,Kitchen,7493.66
Robot Vacuum,2024-05-21,It's okay.,2,22,East,Home Goods,1228.35
Coffee Maker,2020-03-15,"Great quality, very satisfied!",5,243,North,Kitchen,5061.57
Blender,2021-07-10,Decent for the price.,5,147,East,Kitchen,3738.21
Smartwatch,2024-11-30,"Loved it, will buy again.",3,25,North,Wearables,804.63
4K Action Camera,2024-08-16,"Average product, does the job.",3,147,West,Electronics,13779.17
Robot Vacuum,2023-03-24,Quality could be better.,2,57,North,Home Goods,2538.3
4K Action Camera,2023-12-24,Excellent product!,2,29,East,Electronics,3340.88
Gaming Chair,2020-12-28,Decent for the price.,1,93,East,Furniture,8799.77
4K Action Camera,2021-03-23,Not worth the price.,1,84,East,Electronics,4818.45
4K Action Camera,2023-06-11,Not worth the price.,3,144,North,Electronics,9038.39
Gaming Chair,2024-05-05,Very disappointing.,3,226,North,Furniture,18478.95
Blender,2020-09-18,Nothing special but acceptable.,2,106,West,Kitchen,3387.39
Robot Vacuum,2020-05-04,Bad experience overall.,3,241,East,Home Goods,14966.74
Electric Kettle,2022-06-29,Not worth the price.,3,299,East,Kitchen,8319.87
Coffee Maker,2020-09-01,Quality could be better.,2,106,West,Kitchen,4557.87
Air Purifier,2021-06-25,"Average product, does the job.",2,279,West,Home Goods,13430.96
Gaming Chair,2021-04-29,Quality could be better.,3,69,South,Furniture,5068.87
4K Action Camera,2020-05-01,"Great quality, very satisfied!",1,89,South,Electronics,6711.48
Smartwatch,2020-05-04,"Great quality, very satisfied!",4,96,South,Wearables,3462.63
4K Action Camera,2024-04-21,Decent for the price.,4,218,West,Electronics,17799.94
Smartwatch,2020-06-18,Bad experience overall.,4,57,East,Wearables,1559.3
Wireless Mouse,2020-05-03,Nothing special but acceptable.,2,45,East,Accessories,837.36
Air Purifier,2022-11-24,Excellent product!,2,16,West,Home Goods,953.33
Gaming Chair,2023-01-15,Works fine.,3,248,North,Furniture,22926.22
Blender,2021-10-07,Amazing performance and value.,2,246,South,Kitchen,7228.61
Coffee Maker,2024-09-27,Quality could be better.,3,29,West,Kitchen,967.24
Blender,2022-02-24,Stopped working too soon.,5,218,West,Kitchen,5203.42
4K Action Camera,2020-07-19,It's okay.,1,294,South,Electronics,22795.26
Electric Kettle,2021-01-03,It's okay.,3,283,West,Kitchen,8312.14
Electric Kettle,2022-03-07,"Average product, does the job.",5,281,West,Kitchen,10420.21
Wireless Mouse,2020-03-17,Nothing special but acceptable.,2,260,South,Accessories,4702.01
Air Purifier,2020-02-28,Quality could be better.,4,246,West,Home Goods,8973.56
Blender,2021-03-06,Amazing performance and value.,5,150,West,Kitchen,6464.01
Electric Kettle,2021-09-29,"Great quality, very satisfied!",5,98,East,Kitchen,4459.87
Robot Vacuum,2024-03-03,Bad experience overall.,2,162,East,Home Goods,11338.4
4K Action Camera,2020-04-18,"Average product, does the job.",4,189,West,Electronics,16485.31
Coffee Maker,2024-10-25,Highly recommend this!,1,281,North,Kitchen,8379.1
Laptop Stand,2022-10-04,Excellent product!,2,251,South,Accessories,7074.98
Gaming Chair,2023-07-25,Quality could be better.,5,198,East,Furniture,18247.31
Laptop Stand,2020-03-08,Amazing performance and value.,4,88,East,Accessories,1817.32
Coffee Maker,2022-12-28,Highly recommend this!,1,63,South,Kitchen,2805.58
Laptop Stand,2023-04-03,Bad experience overall.,3,273,East,Accessories,4486.49
Smartwatch,2024-02-21,Highly recommend this!,3,230,South,Wearables,8031.73
Electric Kettle,2020-10-31,Highly recommend this!,1,252,South,Kitchen,11617.38
Coffee Maker,2021-11-04,Very disappointing.,4,224,South,Kitchen,11117.15
Gaming Chair,2020-12-30,Not worth the price.,1,177,South,Furniture,17059.1
Blender,2022-03-31,"Loved it, will buy again.",5,225,South,Kitchen,6513.95
Robot Vacuum,2023-11-03,Bad experience overall.,4,204,East,Home Goods,7927.33
Electric Kettle,2020-12-08,Highly recommend this!,4,118,North,Kitchen,2957.71
Wireless Mouse,2022-08-04,Excellent product!,5,42,East,Accessories,1040.1
Gaming Chair,2022-06-17,"Loved it, will buy again.",3,51,East,Furniture,3499.38
Smartwatch,2024-04-26,Very disappointing.,2,70,West,Wearables,2306.8
Robot Vacuum,2023-10-09,Not worth the price.,4,92,South,Home Goods,6259.83
4K Action Camera,2023-12-10,Highly recommend this!,5,93,East,Electronics,8918.3
Gaming Chair,2023-02-06,"Average product, does the job.",4,271,East,Furniture,18379.78
Smartwatch,2024-05-05,Not worth the price.,1,179,North,Wearables,5680.09
Coffee Maker,2022-01-31,"Average product, does the job.",5,22,West,Kitchen,1040.94
Coffee Maker,2024-02-29,Works fine.,5,177,South,Kitchen,5216.03
Wireless Mouse,2020-12-06,Not worth the price.,1,251,South,Accessories,3068.24
Air Purifier,2022-07-30,It's okay.,4,50,East,Home Goods,2603.71
Gaming Chair,2021-01-17,Very disappointing.,4,112,East,Furniture,10112.77
Laptop Stand,2022-09-30,Stopped working too soon.,4,47,West,Accessories,808.19
Gaming Chair,2024-04-05,It's okay.,3,204,North,Furniture,17854.22
Robot Vacuum,2020-10-26,"Great quality, very satisfied!",4,177,South,Home Goods,5507.58
Electric Kettle,2020-05-18,Not worth the price.,3,238,South,Kitchen,7401.75
4K Action Camera,2020-12-24,Stopped working too soon.,3,280,West,Electronics,25855.98
Robot Vacuum,2022-04-15,Very disappointing.,4,239,East,Home Goods,14568.04
Air Purifier,2024-03-02,Quality could be better.,1,170,East,Home Goods,5451.1
Wireless Mouse,2023-11-09,Stopped working too soon.,5,27,North,Accessories,324.94
Robot Vacuum,2024-06-15,Excellent product!,1,104,West,Home Goods,4313.55
Blender,2023-07-27,Not worth the price.,1,230,South,Kitchen,6171.13
Wireless Mouse,2024-07-18,Nothing special but acceptable.,5,136,West,Accessories,2974.27
Smartwatch,2021-04-27,"Loved it, will buy again.",2,57,North,Wearables,1737.23
Coffee Maker,2022-06-27,Excellent product!,2,73,North,Kitchen,2961.66
Air Purifier,2023-02-08,Nothing special but acceptable.,4,209,South,Home Goods,6320.98
Blender,2022-05-15,"Loved it, will buy again.",1,224,East,Kitchen,10620.52
4K Action Camera,2020-05-18,"Great quality, very satisfied!",5,262,North,Electronics,30282.51
Smartwatch,2022-09-22,It's okay.,1,36,East,Wearables,951.86
Electric Kettle,2021-03-10,Not worth the price.,1,123,West,Kitchen,3656.04
4K Action Camera,2021-05-23,Excellent product!,1,148,East,Electronics,13165.91
Air Purifier,2020-09-29,Stopped working too soon.,5,125,South,Home Goods,6386.61
Coffee Maker,2023-01-27,It's okay.,3,85,South,Kitchen,4215.97
Blender,2024-11-22,Amazing performance and value.,1,130,North,Kitchen,3012.18
Laptop Stand,2020-04-13,Excellent product!,1,32,South,Accessories,360.14
Coffee Maker,2023-05-22,Stopped working too soon.,1,248,East,Kitchen,9101.63
Coffee Maker,2024-11-19,Highly recommend this!,3,106,East,Kitchen,4509.28
4K Action Camera,2024-08-14,"Average product, does the job.",1,237,South,Electronics,22785.7
Electric Kettle,2022-01-31,Highly recommend this!,2,49,North,Kitchen,1704.18
Smartwatch,2022-02-25,"Loved it, will buy again.",2,114,South,Wearables,6229.05
Wireless Mouse,2020-06-13,Excellent product!,5,73,North,Accessories,1475.55
Robot Vacuum,2022-09-25,Nothing special but acceptable.,4,262,North,Home Goods,8408.59
Wireless Mouse,2021-06-03,"Great quality, very satisfied!",4,59,West,Accessories,1063.27
Smartwatch,2023-07-31,"Average product, does the job.",1,105,South,Wearables,5905.95
Laptop Stand,2021-05-31,Amazing performance and value.,2,224,West,Accessories,6357.13
Robot Vacuum,2021-10-18,Not worth the price.,3,203,South,Home Goods,13046.65
Coffee Maker,2021-09-04,Decent for the price.,2,264,South,Kitchen,7345.37
Electric Kettle,2020-06-12,Works fine.,2,265,South,Kitchen,9000.96
Gaming Chair,2024-08-09,Nothing special but acceptable.,1,209,East,Furniture,14287.25
Smartwatch,2020-03-04,Works fine.,4,295,East,Wearables,17098.57
Gaming Chair,2023-01-19,Stopped working too soon.,1,76,West,Furniture,4647.64
Wireless Mouse,2023-02-14,It's okay.,4,192,North,Accessories,2812.17
Coffee Maker,2020-09-23,Highly recommend this!,4,37,South,Kitchen,1027.93
4K Action Camera,2024-09-04,"Average product, does the job.",1,74,West,Electronics,7829.8
4K Action Camera,2024-05-01,It's okay.,1,40,North,Electronics,2218.92
Electric Kettle,2023-03-09,Nothing special but acceptable.,4,90,South,Kitchen,1866.37
Coffee Maker,2020-09-02,"Loved it, will buy again.",4,135,West,Kitchen,4208.11
Smartwatch,2024-08-11,"Great quality, very satisfied!",5,23,North,Wearables,758.01
Electric Kettle,2024-11-16,Works fine.,4,206,East,Kitchen,8626.83
Robot Vacuum,2021-01-29,"Great quality, very satisfied!",1,221,South,Home Goods,7631.87
Robot Vacuum,2024-02-19,Highly recommend this!,1,295,West,Home Goods,10870.81
Coffee Maker,2021-04-20,Works fine.,5,52,North,Kitchen,1668.83
Electric Kettle,2024-03-20,Nothing special but acceptable.,4,209,South,Kitchen,4373.1
Blender,2022-09-03,Amazing performance and value.,2,80,North,Kitchen,3758.35
Gaming Chair,2023-04-22,Excellent product!,3,56,West,Furniture,4573.03
Electric Kettle,2022-11-09,"Loved it, will buy again.",3,151,East,Kitchen,5956.48
Laptop Stand,2021-07-11,"Great quality, very satisfied!",1,204,West,Accessories,2382.68
Gaming Chair,2022-10-14,Nothing special but acceptable.,3,222,West,Furniture,12259.95
Blender,2024-03-27,Decent for the price.,5,108,South,Kitchen,4622.94
Smartwatch,2024-05-24,Amazing performance and value.,2,56,North,Wearables,2570.2
Blender,2024-04-01,Nothing special but acceptable.,4,299,West,Kitchen,12068.39
Wireless Mouse,2022-06-01,It's okay.,2,184,West,Accessories,3413.53
Laptop Stand,2020-05-26,"Great quality, very satisfied!",3,209,East,Accessories,5115.03
Coffee Maker,2021-10-27,Excellent product!,3,231,North,Kitchen,6113.98
Smartwatch,2023-08-20,Excellent product!,2,190,North,Wearables,4759.62
Gaming Chair,2021-09-11,Bad experience overall.,3,150,West,Furniture,8481.64
Coffee Maker,2024-11-06,Highly recommend this!,2,169,West,Kitchen,8398.56
Robot Vacuum,2022-03-30,"Great quality, very satisfied!",3,114,South,Home Goods,6980.33
Laptop Stand,2022-05-13,"Great quality, very satisfied!",5,116,West,Accessories,2188.19
Smartwatch,2021-08-04,Quality could be better.,5,195,South,Wearables,8753.08
Smartwatch,2022-10-19,Highly recommend this!,2,115,North,Wearables,5671.48
Blender,2021-11-25,"Average product, does the job.",1,92,West,Kitchen,3114.92
Electric Kettle,2024-11-20,Very disappointing.,5,75,East,Kitchen,3724.42
Laptop Stand,2023-06-05,Bad experience overall.,5,30,South,Accessories,506.02
Coffee Maker,2023-01-30,Nothing special but acceptable.,2,193,North,Kitchen,5724.25
Blender,2024-05-29,Bad experience overall.,5,128,North,Kitchen,4149.64
Gaming Chair,2023-12-11,Amazing performance and value.,5,202,South,Furniture,14092.1
Gaming Chair,2023-05-24,"Loved it, will buy again.",4,164,North,Furniture,11984.13
Wireless Mouse,2021-02-10,Quality could be better.,5,158,North,Accessories,4677.71
Electric Kettle,2021-02-02,Quality could be better.,4,62,South,Kitchen,2991.95
Air Purifier,2021-12-15,"Loved it, will buy again.",4,53,East,Home Goods,2803.7
Gaming Chair,2021-12-04,Nothing special but acceptable.,3,270,East,Furniture,20946.31
Electric Kettle,2022-01-30,Decent for the price.,3,256,North,Kitchen,7213.61
Robot Vacuum,2021-05-13,"Loved it, will buy again.",2,137,West,Home Goods,5737.65
Electric Kettle,2024-11-12,Stopped working too soon.,5,126,North,Kitchen,5237.62
Smartwatch,2024-01-28,Quality could be better.,4,130,North,Wearables,6045.18
Coffee Maker,2024-09-10,Excellent product!,3,81,South,Kitchen,2126.63
Smartwatch,2022-08-31,Bad experience overall.,3,203,West,Wearables,8730.9
Smartwatch,2024-10-20,Not worth the price.,4,286,South,Wearables,10005.66
Gaming Chair,2020-03-22,Excellent product!,1,117,West,Furniture,9726.55
Wireless Mouse,2021-08-26,Works fine.,4,111,North,Accessories,2078.99
4K Action Camera,2024-09-06,Highly recommend this!,3,79,South,Electronics,9034.1
Electric Kettle,2024-11-09,Bad experience overall.,1,263,West,Kitchen,11549.07
4K Action Camera,2022-02-10,"Loved it, will buy again.",5,172,East,Electronics,14808.02
4K Action Camera,2022-06-21,"Great quality, very satisfied!",4,117,West,Electronics,9654.03
4K Action Camera,2020-12-30,Stopped working too soon.,3,82,East,Electronics,9222.14
Blender,2020-06-11,Bad experience overall.,1,180,North,Kitchen,6135.87
4K Action Camera,2022-12-07,Bad experience overall.,5,195,South,Electronics,13880.96
Gaming Chair,2021-05-25,Very disappointing.,5,167,West,Furniture,7627.14
Air Purifier,2023-09-14,"Great quality, very satisfied!",2,64,West,Home Goods,2511.23
4K Action Camera,2020-04-25,Amazing performance and value.,3,186,North,Electronics,13324.98
Blender,2022-07-29,Works fine.,3,97,North,Kitchen,3631.72
Blender,2020-12-02,Decent for the price.,5,243,West,Kitchen,6140.68
Smartwatch,2022-05-30,Not worth the price.,5,172,North,Wearables,7254.36
4K Action Camera,2022-01-06,Quality could be better.,2,84,North,Electronics,8326.22
Air Purifier,2022-04-19,Stopped working too soon.,4,251,East,Home Goods,15521.47
Electric Kettle,2020-05-26,Nothing special but acceptable.,1,269,West,Kitchen,5954.0
Laptop Stand,2024-05-17,Works fine.,3,203,North,Accessories,2235.9
Gaming Chair,2023-09-08,Nothing special but acceptable.,1,136,West,Furniture,11520.09
Gaming Chair,2021-03-18,"Great quality, very satisfied!",5,199,South,Furniture,9114.01
Electric Kettle,2022-04-16,Bad experience overall.,2,204,East,Kitchen,9873.1
Smartwatch,2022-11-02,Quality could be better.,2,156,South,Wearables,9083.41
Electric Kettle,2022-07-31,Works fine.,3,50,East,Kitchen,1465.32
Gaming Chair,2024-02-26,"Loved it, will buy again.",2,87,East,Furniture,5188.94
Smartwatch,2024-09-20,"Great quality, very satisfied!",2,191,South,Wearables,10250.31
Electric Kettle,2020-10-13,Nothing special but acceptable.,3,44,West,Kitchen,902.14
Robot Vacuum,2021-12-20,Decent for the price.,2,282,South,Home Goods,17693.08
Laptop Stand,2023-02-11,"Great quality, very satisfied!",4,67,East,Accessories,1077.1
4K Action Camera,2021-04-24,Very disappointing.,5,91,North,Electronics,5544.49
Laptop Stand,2020-01-22,Stopped working too soon.,1,86,North,Accessories,2523.41
Smartwatch,2023-10-04,"Average product, does the job.",3,56,West,Wearables,1960.45
Coffee Maker,2024-10-15,Not worth the price.,2,281,East,Kitchen,10114.11
Electric Kettle,2021-11-13,Not worth the price.,5,255,South,Kitchen,12023.97
Coffee Maker,2024-05-08,Very disappointing.,1,26,East,Kitchen,991.1
4K Action Camera,2022-06-24,Not worth the price.,5,225,South,Electronics,15277.16
Electric Kettle,2020-11-15,Bad experience overall.,2,249,East,Kitchen,5005.6
Gaming Chair,2020-05-05,Bad experience overall.,5,192,West,Furniture,8311.63
4K Action Camera,2020-10-03,Amazing performance and value.,4,187,East,Electronics,17950.59
Wireless Mouse,2023-05-12,Highly recommend this!,2,22,South,Accessories,331.8
Gaming Chair,2020-07-12,Not worth the price.,5,264,East,Furniture,16943.19
4K Action Camera,2024-08-31,"Average product, does the job.",3,61,East,Electronics,6719.63
4K Action Camera,2024-08-14,Stopped working too soon.,3,85,East,Electronics,7756.34
Robot Vacuum,2024-04-19,Not worth the price.,2,212,North,Home Goods,11327.0
Gaming Chair,2021-11-26,Not worth the price.,5,247,West,Furniture,22976.11
Robot Vacuum,2023-08-02,Quality could be better.,3,162,West,Home Goods,7126.35
Robot Vacuum,2020-02-26,Quality could be better.,4,249,North,Home Goods,7640.67
Electric Kettle,2024-10-23,Stopped working too soon.,5,149,North,Kitchen,3749.01
Gaming Chair,2023-08-19,Very disappointing.,2,294,East,Furniture,20292.18
Gaming Chair,2023-04-01,Quality could be better.,4,183,North,Furniture,14415.53
4K Action Camera,2020-01-19,Not worth the price.,3,153,West,Electronics,10943.85
Gaming Chair,2023-10-25,"Loved it, will buy again.",5,123,South,Furniture,7309.21
4K Action Camera,2020-09-20,Very disappointing.,1,275,East,Electronics,15757.75
Air Purifier,2022-03-04,Bad experience overall.,1,163,West,Home Goods,10390.89
Gaming Chair,2020-04-22,Decent for the price.,3,61,West,Furniture,3586.34
Air Purifier,2024-02-20,It's okay.,2,190,North,Home Goods,10737.47
Laptop Stand,2023-09-12,It's okay.,4,130,East,Accessories,1480.57
Wireless Mouse,2021-06-25,Highly recommend this!,1,163,South,Accessories,2643.95
Coffee Maker,2021-10-08,Amazing performance and value.,3,16,East,Kitchen,417.65
4K Action Camera,2021-08-01,Bad experience overall.,4,140,South,Electronics,15543.71
Laptop Stand,2022-12-24,Nothing special but acceptable.,2,80,South,Accessories,1422.38
Gaming Chair,2023-08-08,Very disappointing.,1,261,West,Furniture,25609.86
Electric Kettle,2020-01-25,Bad experience overall.,4,145,West,Kitchen,3720.28
Air Purifier,2024-04-21,Amazing performance and value.,1,175,West,Home Goods,6428.1
Gaming Chair,2020-01-01,Not worth the price.,2,133,North,Furniture,12270.32
Smartwatch,2022-06-29,Amazing performance and value.,4,23,East,Wearables,1321.24
Wireless Mouse,2024-04-21,"Average product, does the job.",5,64,South,Accessories,1539.3
Smartwatch,2020-05-20,Not worth the price.,5,150,East,Wearables,4415.35
Wireless Mouse,2024-11-02,Amazing performance and value.,1,87,South,Accessories,2292.03
Wireless Mouse,2021-10-09,"Loved it, will buy again.",3,123,West,Accessories,1379.33
Laptop Stand,2020-07-06,Stopped working too soon.,2,140,South,Accessories,3074.57
Smartwatch,2023-02-25,"Great quality, very satisfied!",1,158,South,Wearables,8680.21
Air Purifier,2020-07-19,"Average product, does the job.",2,193,South,Home Goods,13285.41
Smartwatch,2023-02-24,Works fine.,5,129,West,Wearables,6459.1
Blender,2020-09-13,Excellent product!,1,252,North,Kitchen,9638.95
Laptop Stand,2024-08-26,Excellent product!,1,132,South,Accessories,1993.63
Air Purifier,2021-06-30,Amazing performance and value.,5,236,West,Home Goods,7992.73
Coffee Maker,2020-07-12,Works fine.,3,254,South,Kitchen,7760.73
Air Purifier,2021-12-03,Very disappointing.,1,250,South,Home Goods,9824.24
Smartwatch,2023-02-01,Bad experience overall.,4,114,West,Wearables,4196.15
Electric Kettle,2024-04-07,Quality could be better.,3,271,North,Kitchen,9536.03
Coffee Maker,2023-07-12,Amazing performance and value.,2,28,South,Kitchen,1166.31
4K Action Camera,2022-03-12,Nothing special but acceptable.,5,136,West,Electronics,13148.04
Smartwatch,2022-07-30,Stopped working too soon.,3,291,East,Wearables,10537.43
4K Action Camera,2023-11-08,Bad experience overall.,4,239,East,Electronics,20562.73
Air Purifier,2023-07-07,Highly recommend this!,4,261,North,Home Goods,13858.09
Electric Kettle,2021-02-17,Amazing performance and value.,1,297,South,Kitchen,6962.4
Blender,2023-10-13,Stopped working too soon.,4,29,West,Kitchen,967.68
Blender,2023-01-03,Excellent product!,4,157,North,Kitchen,6183.53
Laptop Stand,2023-10-10,"Loved it, will buy again.",2,232,South,Accessories,5715.8
Robot Vacuum,2024-05-26,Stopped working too soon.,2,71,South,Home Goods,2504.72
Robot Vacuum,2024-11-29,It's okay.,4,233,West,Home Goods,15790.77
Wireless Mouse,2022-06-28,Bad experience overall.,1,219,North,Accessories,5594.1
4K Action Camera,2020-07-06,Works fine.,4,267,West,Electronics,19470.29
Gaming Chair,2024-09-04,Not worth the price.,5,291,North,Furniture,25568.42
Gaming Chair,2023-08-06,Highly recommend this!,3,164,North,Furniture,11082.78
Coffee Maker,2020-02-14,Nothing special but acceptable.,5,44,East,Kitchen,1854.28
4K Action Camera,2024-05-15,Stopped working too soon.,2,298,North,Electronics,33010.76
Air Purifier,2020-03-23,Decent for the price.,2,29,West,Home Goods,871.57
Wireless Mouse,2023-02-20,"Average product, does the job.",5,68,South,Accessories,1968.88
Air Purifier,2020-12-23,Amazing performance and value.,2,210,North,Home Goods,11427.59
Laptop Stand,2024-03-31,Quality could be better.,1,262,South,Accessories,3741.17
Gaming Chair,2022-12-25,Excellent product!,3,198,West,Furniture,17188.61
Electric Kettle,2022-07-24,Excellent product!,5,27,East,Kitchen,865.22
Blender,2024-08-07,Bad experience overall.,4,189,West,Kitchen,7581.37
Blender,2021-01-09,Not worth the price.,3,230,East,Kitchen,6940.55
Wireless Mouse,2020-06-10,Stopped working too soon.,5,114,East,Accessories,1513.67
Gaming Chair,2024-11-04,Excellent product!,4,11,West,Furniture,664.03
Blender,2023-11-04,"Loved it, will buy again.",3,106,North,Kitchen,5219.21
Robot Vacuum,2024-08-06,Stopped working too soon.,1,195,North,Home Goods,12839.4
Robot Vacuum,2023-10-13,Excellent product!,1,15,East,Home Goods,610.65
Coffee Maker,2023-04-26,"Great quality, very satisfied!",5,148,East,Kitchen,5489.67
4K Action Camera,2020-11-17,"Great quality, very satisfied!",1,153,South,Electronics,10568.03
Laptop Stand,2021-03-25,Not worth the price.,2,279,South,Accessories,3630.18
Coffee Maker,2024-02-06,Very disappointing.,3,156,South,Kitchen,4323.17
Blender,2022-11-02,Works fine.,2,119,North,Kitchen,2659.44
Robot Vacuum,2020-07-02,"Loved it, will buy again.",2,237,South,Home Goods,7759.35
Wireless Mouse,2020-04-20,Excellent product!,1,59,South,Accessories,990.81
Gaming Chair,2021-05-22,"Loved it, will buy again.",3,52,West,Furniture,5015.63
Robot Vacuum,2023-08-06,Bad experience overall.,4,123,West,Home Goods,6589.6
Smartwatch,2020-10-21,Nothing special but acceptable.,3,115,North,Wearables,5590.01
Laptop Stand,2024-01-14,It's okay.,1,65,East,Accessories,1114.12
Blender,2022-06-22,Highly recommend this!,4,156,East,Kitchen,6067.86
Air Purifier,2023-05-23,Excellent product!,5,180,North,Home Goods,7994.22
Coffee Maker,2022-08-31,Not worth the price.,5,72,West,Kitchen,3223.31
Blender,2021-09-23,Highly recommend this!,1,100,South,Kitchen,2891.9
